epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1129.09,1.51506,0.82192,1.22833,0.48256,0.51068,0.46076,0.22078,1.80406,1.93732,1.40232,0.000294061,0.000294061,0.000294061
43,1155.21,1.55512,0.82206,1.22905,0.5179,0.50757,0.47176,0.24005,1.83945,1.70164,1.41927,0.000279063,0.000279063,0.000279063
44,1181.43,1.50846,0.78951,1.21026,0.49394,0.51607,0.47902,0.22132,1.91056,1.83426,1.45279,0.000264064,0.000264064,0.000264064
45,1207.75,1.48958,0.77368,1.20551,0.5299,0.50346,0.47146,0.24738,1.77528,1.85513,1.41255,0.000249066,0.000249066,0.000249066
46,1233.84,1.50013,0.8048,1.20279,0.51001,0.48303,0.47537,0.23614,1.80459,1.69728,1.41257,0.000234068,0.000234068,0.000234068
47,1259.99,1.46373,0.77608,1.18703,0.53541,0.44464,0.43908,0.2029,1.8703,2.1115,1.4297,0.000219069,0.000219069,0.000219069
48,1286.1,1.44531,0.76536,1.17446,0.50102,0.5337,0.48201,0.23883,1.74698,1.86837,1.37646,0.00020407,0.00020407,0.00020407
49,1312.57,1.42489,0.76459,1.16624,0.53408,0.54087,0.48577,0.22889,1.76032,1.7863,1.40929,0.000189072,0.000189072,0.000189072
50,1338.79,1.40653,0.73847,1.15158,0.55403,0.48572,0.46597,0.22815,1.89004,1.87023,1.46966,0.000174074,0.000174074,0.000174074
51,1366.02,1.40281,0.72424,1.21151,0.52429,0.48277,0.44576,0.20646,1.89197,2.0212,1.45955,0.000159075,0.000159075,0.000159075
52,1391.75,1.37227,0.7064,1.18493,0.50987,0.49468,0.45639,0.22177,1.79779,2.01598,1.45066,0.000144077,0.000144077,0.000144077
53,1417.44,1.32417,0.68304,1.16283,0.51398,0.45625,0.44724,0.21237,1.81259,2.07431,1.43374,0.000129078,0.000129078,0.000129078
54,1442.85,1.3096,0.66985,1.16705,0.53535,0.4781,0.45516,0.21146,1.87802,2.08156,1.46869,0.00011408,0.00011408,0.00011408
55,1468.4,1.28753,0.65199,1.14612,0.55987,0.45643,0.45861,0.2203,1.93083,1.91784,1.49042,9.9081e-05,9.9081e-05,9.9081e-05
56,1493.82,1.27123,0.64143,1.141,0.52725,0.50493,0.46817,0.22097,1.80382,1.97552,1.44512,8.40825e-05,8.40825e-05,8.40825e-05
57,1519.3,1.25175,0.63613,1.13342,0.54463,0.47998,0.4707,0.21969,1.87627,1.99522,1.47902,6.9084e-05,6.9084e-05,6.9084e-05
58,1544.77,1.2518,0.63468,1.13188,0.53703,0.48461,0.4635,0.22383,1.85008,1.89502,1.47131,5.40855e-05,5.40855e-05,5.40855e-05
59,1570.25,1.23652,0.62992,1.12298,0.52687,0.48119,0.46042,0.22067,1.84115,1.95325,1.4627,3.9087e-05,3.9087e-05,3.9087e-05
60,1595.78,1.21993,0.62188,1.1187,0.51136,0.47711,0.45868,0.21953,1.8394,2.00448,1.46345,2.40885e-05,2.40885e-05,2.40885e-05
